"title","Application déployée","Phase d'avancement","Statut","date Kick-off Interne","Code groupe DISE","Portail existant","date modelisation","date set up EWOCS/YODA","date set up MWM","date set up FUM par CDP","Renouvellement","date Formation Accès Interne","date Pilote Usage Interne","date Kick off Externe","application déployée","Chef de projet","date Formation Accès Externe","Nombres de lignes","date Pilote Usage Externe","date Vie de Solution","is archived"
"SOLVAY - EWOCS","EWOCS, EWOCS","En vie de solution","Terminé","2018-03-05","001227","","2018-03-06","","","","","2018-11-15","","2019-03-12","EWOCS, EWOCS","","2019-03-12","","2019-03-12","2019-06-04","False"
"SOPRA STERIA","EWOCS","En vie de solution","Actif ","","1398","","","","","","","","","2017-05-02","EWOCS","Sandra Mokueto","","","","2017-06-01","False"
"LA POSTE","EWOCS","En vie de solution","Terminé","","4399; 8827; 4398; 4397; 4396; 4395; 1581","","","","","","","","","2017-03-15","EWOCS","","","","","2017-05-01","False"
"Eiffage","EWOCS, EWOCS","En vie de solution","Terminé","","3223; 3222; 393; 4014; 3226; 3225; 3224","","","","","","","","","2018-01-15","EWOCS, EWOCS","","","","2018-02-15","2018-04-09","False"
"Ariane","EWOCS, EWOCS","En vie de solution","Terminé","","10235","","","","","","","","","2018-06-05","EWOCS, EWOCS","","",2000,"2018-07-05","2018-07-23","False"
"AXA","EWOCS, EWOCS","En vie de solution","Actif ","","7373","","","","","","","","","","EWOCS, EWOCS","","","","","2016-10-07","True"
"System U","EWOCS","En vie de solution","Actif ","","4377","","","","","","","","","","EWOCS","","","","","2017-04-13","True"
"Casino","EWOCS, EWOCS","En vie de solution","Terminé","2019-02-18","000513","","","","","","","","","2019-03-01","EWOCS, EWOCS","","",9900,"","2019-03-01","False"
"BNPP","EWOCS, EWOCS","En vie de solution","Terminé","","461","","","","","","","","","2018-01-08","EWOCS, EWOCS","","","","2018-02-05","2018-06-04","True"
"GFI","EWOCS","En vie de solution","Terminé","","856","","","","","","","","","2018-02-16","EWOCS","","","","2018-03-07","2018-04-17","False"
"Kering","EWOCS, EWOCS","En vie de solution","Actif ","","9950","","","","","","","","","","EWOCS, EWOCS","","","","2018-02-16","2018-06-20","True"
"FDJ","EWOCS, EWOCS","En vie de solution","Actif ","","000342","","","","","","","","","","EWOCS, EWOCS","","",200,"","2017-11-10","True"
"Air liquide","EWOCS","En vie de solution","Actif ","","478","","","","","","","","","","EWOCS","","","","2018-02-09","2018-05-03","True"
"ENGIE - GDF SUEZ OSM FTR","MWM, MWM","En vie de solution","Terminé","","4186","","","","","","","","","2017-05-10","MWM, MWM","","","","","2017-07-03","False"
"SAFRAN","EWOCS","En vie de solution","Actif ","","3477","","","","","","","","","","EWOCS","","","","","2017-09-01","True"
"ENEDIS","MWM, MWM","En vie de solution","Terminé","2019-10-24","009739","","2020-04-27","2020-05-04","2020-05-11","2020-05-18","Renouvellement","2020-08-25","2021-01-21","","MWM, MWM","Myriam Lekkal","",35601,"","","True"
"GRT GAZ","MWM, MWM","En vie de solution","Terminé","2019-11-05","008710","","2019-11-29","","2020-10-16","2020-10-21","","2020-10-30","2020-10-30","2020-12-02","MWM, MWM","Elise Meffo","2020-12-11",2657,"2020-12-14","2021-03-19","False"
